,externallogid,source,location,type
0,6023,Rum 1.215/TRU01_Rum Temp,,temperature
1,6026,Rum 1.215/VAV01,,
2,6027,Rum 1.215/CO201_Rum ppm,,co2
3,6071,/TM023_1_20_1103/SG01/Setting_solar_intensity_south_close,,
4,6074,/TM023_1_20_1103/SG01/EK21_N,,
5,6126,Rum 1.233/TRU01_Rum Temp,,temperature
6,6129,Rum 1.233/VAV01,,
7,6131,/TM023_1_20_1103/SG01/Solar_panel_west,,
8,6132,Rum 1.233/CO201_Rum ppm,,co2
9,6136,/TM023_1_20_1103/SG01/Solar_panel_south,,
10,6220,Rum 1.229/TRU01_Rum Temp,,
11,6223,Rum 1.229/VAV01,,
12,6225,Rum 1.229/CO201_Rum ppm,,co2
13,6234,/TM023_1_20_1103/SG01/Frigivet,,
14,6278,/TM023_1_20_1103/SG01/Setting_solar_intensity_south_open,,
15,6287,Rum 1.231/TRU01_Rum Temp,,temperature
16,6289,Rum 1.231/VAV01,,
17,6291,Rum 1.231/CO201_Rum ppm,,co2
18,6322,/TM023_1_20_1103/SG01/Setting_solar_intensity_east_close,,
19,6327,/TM023_1_20_1103/SG01/Setting_upper_limit_wind,,
20,6336,Rum 1.217/TRU01_Rum Temp,,temperature
21,6339,Rum 1.217/VAV01,,
22,6340,Rum 1.217/CO201_Rum ppm,,co2
23,6369,/TM023_1_20_1103/SG01/Setting_solar_intensity_east_open,,
24,6372,/TM023_1_20_1103/SG01/Setting_release_panels_under_limit,,
25,6397,Rum 1.213/TRU01_Rum Temp,,temperature
26,6399,Rum 1.213/VAV01,,
27,6401,Rum 1.213/CO201_Rum ppm,,co2
28,6418,/TM023_1_20_1103/SG01/EK20_N,,
29,6426,/TM023_1_20_1103/SG01/Solar_panel_east,,
30,6428,/TM023_1_20_1103/SG01/Wind_velocity,,
31,6432,/TM023_1_20_1103/SG01/Power_switch_south_east,,
32,233018,Rum 1.213/PIR_activity_1.213,,
33,233020,Rum 1.215/PIR_activity_1.215,,
34,233022,Rum 1.217/PIR_activity_1.217,,
35,233027,Rum 1.229/PIR_activity_1.229,,
36,233028,Rum 1.231/PIR_activity_1.231,,
