"",externallogid,source,location,sensor_type,unit,ignore
0,6023,Rum 1.215/TRU01_Rum Temp,1.215,temperature,c,0
1,6026,Rum 1.215/VAV01,1.215,supply_damper,%,0
2,6027,Rum 1.215/CO201_Rum ppm,1.215,co2,ppm,0
3,6071,/TM023_1_20_1103/SG01/Setting_solar_intensity_south_close,tmv23,TBD,TBD,0
4,6074,/TM023_1_20_1103/SG01/EK21_N,tmv23,hot_water_temp,c,0
5,6126,Rum 1.233/TRU01_Rum Temp,1.233,temperature,c,0
6,6129,Rum 1.233/VAV01,1.233,supply_damper,%,0
7,6131,/TM023_1_20_1103/SG01/Solar_panel_west,tmv23,TBD,TBD,0
8,6132,Rum 1.233/CO201_Rum ppm,1.233,co2,ppm,0
9,6136,/TM023_1_20_1103/SG01/Solar_panel_south,tmv23,TBD,TBD,0
10,6220,Rum 1.229/TRU01_Rum Temp,1.229,temperature,c,0
11,6223,Rum 1.229/VAV01,1.229,supply_damper,%,0
12,6225,Rum 1.229/CO201_Rum ppm,1.229,co2,ppm,0
13,6234,/TM023_1_20_1103/SG01/Frigivet,tmv23,TBD,TBD,0
14,6278,/TM023_1_20_1103/SG01/Setting_solar_intensity_south_open,tmv23,TBD,TBD,0
15,6287,Rum 1.231/TRU01_Rum Temp,1.231,temperature,c,0
16,6289,Rum 1.231/VAV01,1.231,supply_damper,%,0
17,6291,Rum 1.231/CO201_Rum ppm,1.231,co2,ppm,0
18,6322,/TM023_1_20_1103/SG01/Setting_solar_intensity_east_close,tmv23,TBD,TBD,0
19,6327,/TM023_1_20_1103/SG01/Setting_upper_limit_wind,tmv23,TBD,TBD,0
20,6336,Rum 1.217/TRU01_Rum Temp,1.217,temperature,c,0
21,6339,Rum 1.217/VAV01,1.217,supply_damper,%,0
22,6340,Rum 1.217/CO201_Rum ppm,1.217,co2,ppm,0
23,6369,/TM023_1_20_1103/SG01/Setting_solar_intensity_east_open,tmv23,TBD,TBD,0
24,6372,/TM023_1_20_1103/SG01/Setting_release_panels_under_limit,tmv23,TBD,TBD,0
25,6397,Rum 1.213/TRU01_Rum Temp,1.213,temperature,c,0
26,6399,Rum 1.213/VAV01,1.213,supply_damper,%,0
27,6401,Rum 1.213/CO201_Rum ppm,1.213,co2,ppm,0
28,6418,/TM023_1_20_1103/SG01/EK20_N,tmv23,TBD,TBD,0
29,6426,/TM023_1_20_1103/SG01/Solar_panel_east,tmv23,TBD,TBD,0
30,6428,/TM023_1_20_1103/SG01/Wind_velocity,tmv23,TBD,TBD,0
31,6432,/TM023_1_20_1103/SG01/Power_switch_south_east,tmv23,TBD,TBD,0
32,233018,Rum 1.213/PIR_activity_1.213,1.213,occupancy,bool,0
33,233020,Rum 1.215/PIR_activity_1.215,1.215,occupancy,bool,0
34,233022,Rum 1.217/PIR_activity_1.217,1.217,occupancy,bool,0
35,233027,Rum 1.229/PIR_activity_1.229,1.229,occupancy,bool,0
36,233028,Rum 1.231/PIR_activity_1.231,1.231,occupancy,bool,0
37,233030,Rum 1.233/PIR_activity_1.233,1.233,occupancy,bool,0
38,249709,Energi_heating_north_east_VA01,tmv23,TBD,TBD,0
39,249780,Volume_accumulated_north_east_VA01,tmv23,TBD,TBD,0
40,249781,Effect_north_east_VA01,tmv23,TBD,TBD,0
41,249782,Flow_north_east_VA01,tmv23,TBD,TBD,0
42,249783,Supply_temperature_north_east_VA01,tmv23,temperature,c,0
43,249784,Return_temperature_north_east_VA01,tmv23,temperature,c,0
44,249785,Operation_hours_accumulated_north_east_VA01,tmv23,TBD,TBD,0
45,696836,Rum 1.213/Vindue_1.213,1.213,window_open,bool,0
46,730983,Rum 1.215/CO2_1.215,1.215,co2,ppm,0
47,730984,Rum 1.215/Room_temperature_1.215,1.215,temperature,c,0
48,730985,Rum 1.215/Temperature_heating_setpoint_1.215,1.215,setpoint,c,0
49,730986,Rum 1.215/Temperature_cooling_setpoint_1.215,1.215,setpoint,c,0
50,730987,Rum 1.215/Lux_meter_1.215,1.215,occupancy,lux,0
